title,price,article_link,img_url,description,scraped_date,date_published
Landjäger,2.39,https://www.aldi-nord.de/angebote/aktion-mo-17-04/landjaeger-1332-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Geräuchert; 4 Stück
",2023-04-19,2023-04-14
50 % weniger Zuckerᴬ,2.19,https://www.aldi-nord.de/angebote/aktion-mo-17-04/50-weniger-zucker-1017874-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Fruchtaufstrich; verschiedene Sorten; 10 % mehr Inhalt
",2023-04-19,2023-04-14
Honig,3.79,https://www.aldi-nord.de/angebote/aktion-mo-17-04/honig-7688-2-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten
",2023-04-19,2023-04-14
Hafer-Heidi,0.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/hafer-heidi-1023428-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Haferbrot mit Leinsamen
",2023-04-19,2023-04-14
Butterkekse,6.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/butterkekse-1005088-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Knusprige Kekse; in Metalldose in VW-Bus-Form; verschiedene Dessinvarianten
",2023-04-19,2023-04-14
Erdnussberge,1.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/erdnussberge-4031-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten
",2023-04-19,2023-04-14
Minis,1.88,https://www.aldi-nord.de/angebote/aktion-mo-17-04/minis-4862-2-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten
 
",2023-04-19,2023-04-14
nimm2 Lachgummi Veggie,0.89,https://www.aldi-nord.de/angebote/aktion-mo-17-04/nimm2-lachgummi-veggie-1006867-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten und Gewichte; vegetarisch bzw. z.T. vegan
",2023-04-19,2023-04-14
nimm2 Lachgummi Softies,0.89,https://www.aldi-nord.de/angebote/aktion-mo-17-04/nimm2-lachgummi-softies-2464-1-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten
",2023-04-19,2023-04-14
nimm2 Lachgummi,0.89,https://www.aldi-nord.de/angebote/aktion-mo-17-04/nimm2-lachgummi-3818-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten und Gewichte
",2023-04-19,2023-04-14
Schokoladentafel,0.89,https://www.aldi-nord.de/angebote/aktion-mo-17-04/schokoladentafel-1011110-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Verschiedene Sorten und Gewichte
",2023-04-19,2023-04-14
Maltesers,2.49,https://www.aldi-nord.de/angebote/aktion-mo-17-04/maltesers-1023815-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Milchschokolade; mit Malzfüllung
",2023-04-19,2023-04-14
Fruchtsaft,1.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/fruchtsaft-1005306-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","100 % Saft aus Konzentrat; verschiedene Sorten
 
",2023-04-19,2023-04-14
Fliederbeersaft,1.99,https://www.aldi-nord.de/angebote/aktion-mo-17-04/fliederbeersaft-261-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","100 % Holunderbeersaft aus Holunderbeersaftkonzentrat
",2023-04-19,2023-04-14
Gran Reserva Cariñena DOP 2017,3.49,https://www.aldi-nord.de/angebote/aktion-mo-17-04/gran-reserva-carinena-dop-2017-1150-0-0.article.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Trockener spanischer Rotwein; in Eichenfässern gelagert
",2023-04-19,2023-04-14
